Month_wise,Total_cfv
2013-01,3
2013-02,2
2013-03,0
2013-04,0
2013-05,0
2013-06,1
2013-07,2
2013-08,9
2013-09,12
2013-10,20
2013-11,1
2013-12,0
2014-01,3
2014-02,0
2014-03,0
2014-04,1
2014-05,8
2014-06,4
2014-07,4
2014-08,3
2014-09,0
2014-10,30
2014-11,4
2014-12,4
2015-01,5
2015-02,1
2015-03,1
2015-04,1
2015-05,2
2015-06,3
2015-07,10
2015-08,16
2015-09,8
2015-10,3
2015-11,1
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,4
2016-05,1
2016-06,0
2016-07,2
2016-08,4
2016-09,11
2016-10,48
2016-11,25
2016-12,5
2017-01,2
2017-02,5
2017-03,6
2017-04,6
2017-05,9
2017-06,23
2017-07,24
2017-08,18
2017-09,25
2017-10,13
2017-11,6
2017-12,10
2018-01,21
2018-02,27
2018-03,18
2018-04,11
2018-05,16
2018-06,4
2018-07,5
2018-08,12
2018-09,5
2018-10,11
2018-11,8
2018-12,16
2019-01,27
2019-02,21
2019-03,38
2019-04,9
2019-05,11
2019-06,6
2019-07,19
2019-08,14
2019-09,30
2019-10,25
2019-11,22
2019-12,18
