Month_wise,Poonch,Rajouri,Jammu,Kupwara,Uri,Kathua,Akhnoor,Gurez,Punjab,Chirikot,Drass_Kargil,Not_Mentioned,Total_cfv
2013-01,2,0,0,0,1,0,0,0,0,0,0,0,3
2013-02,1,1,0,0,0,0,0,0,0,0,0,0,2
2013-03,,,,,,,,,,,,,0
2013-04,,,,,,,,,,,,,0
2013-05,,,,,,,,,,,,,0
2013-06,1,0,0,0,0,0,0,0,0,0,0,0,1
2013-07,1,0,0,0,0,1,0,0,0,0,0,0,2
2013-08,6,0,2,0,0,0,0,0,0,0,1,0,9
2013-09,9,2,0,0,1,0,0,0,0,0,0,0,12
2013-10,4,0,12,0,0,2,1,0,0,0,0,1,20
2013-11,0,0,0,0,0,0,0,0,0,0,0,1,1
2013-12,,,,,,,,,,,,,0
2014-01,1,0,0,0,1,0,0,0,0,0,0,1,3
2014-02,,,,,,,,,,,,,0
2014-03,,,,,,,,,,,,,0
2014-04,1,0,0,0,0,0,0,0,0,0,0,0,1
2014-05,5,2,0,0,0,0,1,0,0,0,0,0,8
2014-06,2,2,0,0,0,0,0,0,0,0,0,0,4
2014-07,0,0,3,0,0,0,1,0,0,0,0,0,4
2014-08,2,0,1,0,0,0,0,0,0,0,0,0,3
2014-09,,,,,,,,,,,,,0
2014-10,9,1,17,0,0,1,1,0,0,0,0,1,30
2014-11,0,0,1,0,3,0,0,0,0,0,0,0,4
2014-12,0,0,2,0,1,1,0,0,0,0,0,0,4
2015-01,0,0,5,0,0,0,0,0,0,0,0,0,5
2015-02,0,0,1,0,0,0,0,0,0,0,0,0,1
2015-03,0,0,1,0,0,0,0,0,0,0,0,0,1
2015-04,0,0,0,0,0,1,0,0,0,0,0,0,1
2015-05,0,0,1,0,0,0,0,0,1,0,0,0,2
2015-06,2,0,1,0,0,0,0,0,0,0,0,0,3
2015-07,2,1,3,2,1,0,1,0,0,0,0,0,10
2015-08,6,1,7,2,0,0,0,0,0,0,0,0,16
2015-09,4,1,0,2,0,0,0,0,0,0,0,1,8
2015-10,0,0,2,0,0,1,0,0,0,0,0,0,3
2015-11,0,0,0,0,0,0,0,1,0,0,0,0,1
2015-12,,,,,,,,,,,,,0
2016-01,,,,,,,,,,,,,0
2016-02,,,,,,,,,,,,,0
2016-03,,,,,,,,,,,,,0
2016-04,2,0,2,0,0,0,0,0,0,0,0,0,4
2016-05,0,0,0,0,1,0,0,0,0,0,0,0,1
2016-06,,,,,,,,,,,,,0
2016-07,0,1,1,0,0,0,0,0,0,0,0,0,2
2016-08,1,0,3,0,0,0,0,0,0,0,0,0,4
2016-09,5,0,1,1,1,0,3,0,0,0,0,0,11
2016-10,18,9,11,4,0,4,2,0,0,0,0,0,48
2016-11,7,10,5,1,1,0,0,1,0,0,0,0,25
2016-12,3,1,1,0,0,0,0,0,0,0,0,0,5
2017-01,2,0,0,0,0,0,0,0,0,0,0,0,2
2017-02,0,1,4,0,0,0,0,0,0,0,0,0,5
2017-03,5,0,0,0,0,0,0,0,0,0,0,1,6
2017-04,3,3,0,0,0,0,0,0,0,0,0,0,6
2017-05,3,4,1,1,0,0,0,0,0,0,0,0,9
2017-06,9,11,1,0,0,0,0,0,0,0,0,2,23
2017-07,8,7,0,6,3,0,0,0,0,0,0,0,24
2017-08,6,3,2,2,4,0,0,0,0,0,0,1,18
2017-09,12,0,9,2,1,0,0,0,1,0,0,0,25
2017-10,9,1,0,1,2,0,0,0,0,0,0,0,13
2017-11,4,1,1,0,0,0,0,0,0,0,0,0,6
2017-12,2,8,0,0,0,0,0,0,0,0,0,0,10
2018-01,5,6,8,0,1,0,1,0,0,0,0,0,21
2018-02,7,14,1,1,4,0,0,0,0,0,0,0,27
2018-03,10,5,0,0,1,0,2,0,0,0,0,0,18
2018-04,4,7,0,0,0,0,0,0,0,0,0,0,11
2018-05,1,2,10,1,1,1,0,0,0,0,0,0,16
2018-06,0,1,1,0,0,0,2,0,0,0,0,0,4
2018-07,1,1,0,0,0,0,3,0,0,0,0,0,5
2018-08,1,2,0,6,2,0,0,1,0,0,0,0,12
2018-09,1,1,1,2,0,0,0,0,0,0,0,0,5
2018-10,8,1,1,1,0,0,0,0,0,0,0,0,11
2018-11,3,4,0,1,0,0,0,0,0,0,0,0,8
2018-12,5,6,0,3,2,0,0,0,0,0,0,0,16
2019-01,14,10,2,0,0,1,0,0,0,0,0,0,27
2019-02,9,10,2,0,0,0,0,0,0,0,0,0,21
2019-03,17,15,0,0,4,0,2,0,0,0,0,0,38
2019-04,6,3,0,0,0,0,0,0,0,0,0,0,9
2019-05,6,3,0,0,0,2,0,0,0,0,0,0,11
2019-06,5,0,0,0,0,1,0,0,0,0,0,0,6
2019-07,9,7,0,2,0,0,1,0,0,0,0,0,19
2019-08,6,6,0,1,0,0,0,1,0,0,0,0,14
2019-09,19,4,2,0,2,3,0,0,0,0,0,0,30
2019-10,12,3,0,2,1,6,0,0,0,1,0,0,25
2019-11,14,2,0,2,0,3,1,0,0,0,0,0,22
2019-12,12,1,0,0,3,1,0,1,0,0,0,0,18
